FECHA_CORTE,UBIGEO,year,month,day,hour,incide_LW_rad,emitte_LW_rad,direct_SW_rad,global_SW_rad,diffus_SW_rad,reflec_SW_rad
20250530,120904,2021,1,1,0,352.05167,367.135,-0.25327,0.0,0.0,0.0
20250530,120904,2021,1,1,1,352.87167,364.62333,-0.20893,0.0,0.0,0.0
20250530,120904,2021,1,1,2,345.94833,359.725,-0.2272,0.0,0.0,0.0
20250530,120904,2021,1,1,3,343.00833,357.59,-0.15992,0.0,0.0,0.0
20250530,120904,2021,1,1,4,341.39167,357.58333,-0.11268,0.0,0.0,0.0
20250530,120904,2021,1,1,5,341.6587,358.40652,-0.03154,0.91413,0.8113,0.11391
20250530,120904,2021,1,1,6,339.48667,364.035,0.1646,69.91467,68.309,8.729
20250530,120904,2021,1,1,7,333.34815,375.56852,6.53107,204.86296,195.14074,26.75741
20250530,120904,2021,1,1,8,,,,,,
20250530,120904,2021,1,1,9,342.35,416.84333,10.92005,500.54333,482.21833,75.97683
20250530,120904,2021,1,1,10,346.24667,425.265,20.60857,529.68167,502.86667,79.8315
20250530,120904,2021,1,1,11,312.975,466.56833,720.77532,1068.60333,323.415,151.95733
20250530,120904,2021,1,1,12,336.59815,469.5463,473.65967,904.30926,412.31667,131.47389
20250530,120904,2021,1,1,13,352.67627,426.57119,15.19642,447.81525,430.42034,67.5261
20250530,120904,2021,1,1,14,341.36724,450.54828,138.69005,685.97069,539.07586,103.03672
20250530,120904,2021,1,1,15,,,,,,
20250530,120904,2021,1,1,16,,,,,,
20250530,120904,2021,1,1,17,,,,,,
20250530,120904,2021,1,1,18,358.26129,376.2129,0.01519,0.0,0.0,0.0
20250530,120904,2021,1,1,19,356.10167,374.49833,0.0712,0.0,0.0,0.0
20250530,120904,2021,1,1,20,354.09667,371.74333,-0.04218,0.0,0.0,0.0
20250530,120904,2021,1,1,21,353.41,371.39333,-0.05443,0.0,0.0,0.0
20250530,120904,2021,1,1,22,351.19667,369.45,-0.2915,0.0,0.0,0.0
20250530,120904,2021,1,1,23,354.06167,369.42667,-0.3225,0.0,0.0,0.0
20250530,120904,2021,1,2,0,354.59667,368.37167,-0.18907,0.0,0.0,0.0
20250530,120904,2021,1,2,1,352.62833,365.25167,-0.18167,0.0,0.0,0.0
20250530,120904,2021,1,2,2,347.58667,362.95833,-0.1061,0.0,0.0,0.0
20250530,120904,2021,1,2,3,345.61333,362.67833,-0.12582,0.0,0.0,0.0
20250530,120904,2021,1,2,4,347.08667,362.94333,-0.09997,0.0,0.0,0.0
20250530,120904,2021,1,2,5,345.02727,363.20455,-0.03532,0.265,0.23318,0.03682
20250530,120904,2021,1,2,6,342.88667,368.895,0.22402,78.7955,76.67867,9.98
